term,mean,ci_low,ci_high,pd,rope_perc,rate_ratio_mean,rate_ratio_ci_l,rate_ratio_ci_h
dominanttree1Populus:dominanttree2Crataegus:dominanttree3Acer,0.019,-3.958,3.932,0.502,0.039,1.019,0.019,50.99
dominanttree1Populus:dominanttree2Crataegus:dominanttree3Betula,-0.005,-3.881,3.863,0.5,0.04,0.995,0.021,47.621
dominanttree1Populus:dominanttree2Crataegus:dominanttree3Eucalyptus,-0.007,-3.894,3.849,0.501,0.04,0.993,0.02,46.959
dominanttree1Populus:dominanttree2Crataegus:dominanttree3Fagus,0.013,-4.027,3.956,0.504,0.039,1.013,0.018,52.27
dominanttree1Populus:dominanttree2Crataegus:dominanttree3Ilex,0.002,-3.799,3.742,0.501,0.041,1.002,0.022,42.181
dominanttree1Populus:dominanttree2Crataegus:dominanttree3Pinus,0.005,-3.981,4.017,0.502,0.04,1.005,0.019,55.561
dominanttree1Populus:dominanttree2Crataegus:dominanttree3Quercus,0.005,-3.922,3.961,0.5,0.04,1.005,0.02,52.493
dominanttree1Populus:dominanttree2Crataegus:dominanttree3Rubus,0.017,-3.87,3.958,0.505,0.038,1.017,0.021,52.333
dominanttree1Populus:dominanttree2Crataegus:dominanttree3Sambucus,-0.006,-3.925,3.891,0.503,0.039,0.994,0.02,48.966
dominanttree1Populus:dominanttree2Fagus,0.294,-3.337,3.9,0.563,0.038,1.341,0.036,49.379
dominanttree1Populus:dominanttree2Fagus:dominanttree3Acer,-0.006,-4.013,4.006,0.501,0.039,0.994,0.018,54.901
dominanttree1Populus:dominanttree2Fagus:dominanttree3Betula,0.01,-3.888,3.96,0.5,0.039,1.01,0.02,52.451
dominanttree1Populus:dominanttree2Fagus:dominanttree3Eucalyptus,0.012,-3.848,3.921,0.501,0.039,1.012,0.021,50.472
dominanttree1Populus:dominanttree2Fagus:dominanttree3Fagus,0.011,-3.854,3.938,0.503,0.042,1.011,0.021,51.295
dominanttree1Populus:dominanttree2Fagus:dominanttree3Ilex,0.018,-3.861,3.961,0.502,0.041,1.018,0.021,52.525
dominanttree1Populus:dominanttree2Fagus:dominanttree3Pinus,-0.008,-4.045,3.971,0.506,0.039,0.992,0.018,53.048
dominanttree1Populus:dominanttree2Fagus:dominanttree3Quercus,0.004,-3.889,3.906,0.503,0.039,1.004,0.02,49.703
dominanttree1Populus:dominanttree2Fagus:dominanttree3Rubus,-0.004,-3.897,3.885,0.5,0.042,0.996,0.02,48.647
dominanttree1Populus:dominanttree2Fagus:dominanttree3Sambucus,0.305,-3.348,3.92,0.563,0.042,1.356,0.035,50.388
dominanttree1Populus:dominanttree2Fraxinus,-0.015,-3.97,3.957,0.502,0.039,0.985,0.019,52.292
dominanttree1Populus:dominanttree2Fraxinus:dominanttree3Acer,-0.01,-4.006,3.964,0.504,0.039,0.99,0.018,52.653
dominanttree1Populus:dominanttree2Fraxinus:dominanttree3Betula,-0.011,-3.838,3.86,0.506,0.041,0.989,0.022,47.445
dominanttree1Populus:dominanttree2Fraxinus:dominanttree3Eucalyptus,0.009,-3.932,3.958,0.501,0.038,1.009,0.02,52.328
dominanttree1Populus:dominanttree2Fraxinus:dominanttree3Fagus,-0.005,-3.89,3.966,0.503,0.042,0.995,0.02,52.772
dominanttree1Populus:dominanttree2Fraxinus:dominanttree3Ilex,-0.02,-3.853,3.912,0.505,0.039,0.98,0.021,50.005
dominanttree1Populus:dominanttree2Fraxinus:dominanttree3Pinus,0.005,-3.945,3.966,0.501,0.04,1.005,0.019,52.794
dominanttree1Populus:dominanttree2Fraxinus:dominanttree3Quercus,-0.003,-3.874,3.882,0.502,0.042,0.997,0.021,48.503
dominanttree1Populus:dominanttree2Fraxinus:dominanttree3Rubus,0.007,-3.975,3.955,0.502,0.04,1.007,0.019,52.177
dominanttree1Populus:dominanttree2Fraxinus:dominanttree3Sambucus,-0.005,-3.945,3.938,0.501,0.04,0.995,0.019,51.295
dominanttree1Populus:dominanttree2Picea,0.019,-3.953,3.958,0.506,0.041,1.019,0.019,52.362
dominanttree1Populus:dominanttree2Picea:dominanttree3Acer,-0.002,-3.948,3.921,0.501,0.04,0.998,0.019,50.426
dominanttree1Populus:dominanttree2Picea:dominanttree3Betula,-0.006,-3.926,3.867,0.5,0.037,0.994,0.02,47.807
dominanttree1Populus:dominanttree2Picea:dominanttree3Eucalyptus,-0.006,-3.925,3.976,0.505,0.035,0.994,0.02,53.301
dominanttree1Populus:dominanttree2Picea:dominanttree3Fagus,-0.004,-3.863,3.867,0.5,0.042,0.996,0.021,47.805
dominanttree1Populus:dominanttree2Picea:dominanttree3Ilex,0.01,-3.887,3.891,0.501,0.04,1.01,0.021,48.954
dominanttree1Populus:dominanttree2Picea:dominanttree3Pinus,0.008,-3.949,3.952,0.503,0.039,1.008,0.019,52.025
dominanttree1Populus:dominanttree2Picea:dominanttree3Quercus,-0.005,-3.921,4.002,0.501,0.037,0.995,0.02,54.688
dominanttree1Populus:dominanttree2Picea:dominanttree3Rubus,0.004,-3.827,3.892,0.5,0.043,1.004,0.022,49.025
dominanttree1Populus:dominanttree2Picea:dominanttree3Sambucus,0.007,-3.911,3.912,0.504,0.041,1.007,0.02,49.991
dominanttree1Populus:dominanttree2Pinus,-0.008,-3.933,3.923,0.504,0.039,0.992,0.02,50.556
dominanttree1Populus:dominanttree2Pinus:dominanttree3Acer,0.003,-3.925,3.916,0.504,0.044,1.003,0.02,50.216
dominanttree1Populus:dominanttree2Pinus:dominanttree3Betula,-0.008,-3.934,3.893,0.501,0.039,0.992,0.02,49.047
dominanttree1Populus:dominanttree2Pinus:dominanttree3Eucalyptus,0,-3.98,3.915,0.504,0.039,1,0.019,50.135
dominanttree1Populus:dominanttree2Pinus:dominanttree3Fagus,0.006,-3.778,3.865,0.502,0.039,1.006,0.023,47.718
dominanttree1Populus:dominanttree2Pinus:dominanttree3Ilex,-0.004,-3.837,3.898,0.505,0.04,0.996,0.022,49.303
dominanttree1Populus:dominanttree2Pinus:dominanttree3Pinus,-0.005,-3.933,3.9,0.501,0.042,0.995,0.02,49.408
dominanttree1Populus:dominanttree2Pinus:dominanttree3Quercus,-0.007,-3.929,3.846,0.501,0.042,0.993,0.02,46.822
dominanttree1Populus:dominanttree2Pinus:dominanttree3Rubus,0.011,-3.863,3.898,0.501,0.04,1.011,0.021,49.292
dominanttree1Populus:dominanttree2Pinus:dominanttree3Sambucus,0.015,-3.939,3.938,0.505,0.044,1.015,0.019,51.318
dominanttree1Populus:dominanttree2Prunus,0.017,-3.909,3.922,0.504,0.04,1.018,0.02,50.524
dominanttree1Populus:dominanttree2Prunus:dominanttree3Acer,-0.01,-3.896,3.857,0.5,0.042,0.99,0.02,47.306
dominanttree1Populus:dominanttree2Prunus:dominanttree3Betula,0.01,-3.888,3.94,0.505,0.04,1.01,0.02,51.413
dominanttree1Populus:dominanttree2Prunus:dominanttree3Eucalyptus,-0.014,-4.013,3.957,0.502,0.04,0.986,0.018,52.3
dominanttree1Populus:dominanttree2Prunus:dominanttree3Fagus,0.005,-3.949,3.931,0.5,0.04,1.006,0.019,50.978
dominanttree1Populus:dominanttree2Prunus:dominanttree3Ilex,0.008,-3.918,3.898,0.504,0.043,1.008,0.02,49.326
dominanttree1Populus:dominanttree2Prunus:dominanttree3Pinus,-0.007,-3.97,4.002,0.501,0.038,0.993,0.019,54.707
dominanttree1Populus:dominanttree2Prunus:dominanttree3Quercus,0,-3.975,3.987,0.501,0.041,1,0.019,53.881
dominanttree1Populus:dominanttree2Prunus:dominanttree3Rubus,0.015,-3.951,3.997,0.503,0.041,1.015,0.019,54.43
dominanttree1Populus:dominanttree2Prunus:dominanttree3Sambucus,0.003,-3.985,3.99,0.5,0.04,1.003,0.019,54.04
dominanttree1Populus:dominanttree2Quercus,-0.015,-3.929,3.878,0.503,0.04,0.985,0.02,48.347
dominanttree1Populus:dominanttree2Quercus:dominanttree3Acer,0.002,-3.931,3.888,0.502,0.042,1.002,0.02,48.821
dominanttree1Populus:dominanttree2Quercus:dominanttree3Betula,-0.016,-3.903,3.972,0.505,0.041,0.984,0.02,53.067
dominanttree1Populus:dominanttree2Quercus:dominanttree3Eucalyptus,0.019,-3.925,4.015,0.502,0.042,1.02,0.02,55.438
dominanttree1Populus:dominanttree2Quercus:dominanttree3Fagus,-0.002,-3.876,3.924,0.502,0.041,0.998,0.021,50.599
dominanttree1Populus:dominanttree2Quercus:dominanttree3Ilex,-0.005,-4.038,3.947,0.504,0.036,0.995,0.018,51.763
dominanttree1Populus:dominanttree2Quercus:dominanttree3Pinus,0.008,-3.873,3.98,0.501,0.04,1.008,0.021,53.54
dominanttree1Populus:dominanttree2Quercus:dominanttree3Quercus,0.014,-3.99,4.014,0.503,0.042,1.014,0.018,55.353
dominanttree1Populus:dominanttree2Quercus:dominanttree3Rubus,0.007,-3.805,3.861,0.501,0.042,1.007,0.022,47.495
dominanttree1Populus:dominanttree2Quercus:dominanttree3Sambucus,0.007,-3.864,3.847,0.502,0.039,1.007,0.021,46.852
dominanttree1Populus:dominanttree3Acer,-0.006,-4.012,3.875,0.5,0.04,0.994,0.018,48.173
dominanttree1Populus:dominanttree3Betula,-0.022,-3.949,3.902,0.501,0.036,0.978,0.019,49.498
dominanttree1Populus:dominanttree3Eucalyptus,-0.035,-3.937,3.804,0.507,0.041,0.966,0.019,44.89
dominanttree1Populus:dominanttree3Fagus,-0.001,-3.962,4.028,0.502,0.04,0.999,0.019,56.175
dominanttree1Populus:dominanttree3Ilex,0.004,-3.849,3.8,0.5,0.04,1.004,0.021,44.723
dominanttree1Populus:dominanttree3Pinus,0,-3.843,3.894,0.501,0.04,1,0.021,49.12
dominanttree1Populus:dominanttree3Quercus,0.006,-3.909,3.98,0.502,0.042,1.006,0.02,53.506
dominanttree1Populus:dominanttree3Rubus,0.021,-3.791,3.871,0.501,0.04,1.021,0.023,48.011
dominanttree1Populus:dominanttree3Sambucus,0.307,-3.361,4.004,0.562,0.04,1.359,0.035,54.818
dominanttree1Quercus,1.715,-1.202,4.59,0.872,0.027,5.558,0.3,98.506
dominanttree1Quercus:dominanttree2Acer,-0.01,-3.942,3.908,0.501,0.04,0.99,0.019,49.823
dominanttree1Quercus:dominanttree2Acer:dominanttree3Acer,-0.028,-3.994,3.939,0.504,0.039,0.972,0.018,51.359
dominanttree1Quercus:dominanttree2Acer:dominanttree3Betula,-0.011,-3.855,3.879,0.505,0.039,0.989,0.021,48.364
dominanttree1Quercus:dominanttree2Acer:dominanttree3Eucalyptus,-0.009,-3.976,3.958,0.503,0.041,0.991,0.019,52.341
dominanttree1Quercus:dominanttree2Acer:dominanttree3Fagus,-0.005,-3.918,3.872,0.501,0.039,0.995,0.02,48.02
dominanttree1Quercus:dominanttree2Acer:dominanttree3Ilex,-0.02,-3.94,3.905,0.502,0.041,0.98,0.019,49.658
dominanttree1Quercus:dominanttree2Acer:dominanttree3Pinus,0.001,-3.92,3.976,0.5,0.04,1.001,0.02,53.306
dominanttree1Quercus:dominanttree2Acer:dominanttree3Quercus,0.01,-3.866,3.855,0.502,0.039,1.01,0.021,47.22
dominanttree1Quercus:dominanttree2Acer:dominanttree3Rubus,-0.002,-3.865,3.79,0.504,0.039,0.998,0.021,44.27
dominanttree1Quercus:dominanttree2Acer:dominanttree3Sambucus,0.007,-3.876,3.908,0.501,0.04,1.007,0.021,49.821
dominanttree1Quercus:dominanttree2Alnus,0.021,-3.924,3.917,0.504,0.037,1.021,0.02,50.271
dominanttree1Quercus:dominanttree2Alnus:dominanttree3Acer,0.003,-3.94,3.947,0.502,0.041,1.003,0.019,51.758
dominanttree1Quercus:dominanttree2Alnus:dominanttree3Betula,0.019,-3.955,3.996,0.507,0.038,1.019,0.019,54.373
dominanttree1Quercus:dominanttree2Alnus:dominanttree3Eucalyptus,0.001,-3.814,3.867,0.502,0.041,1.001,0.022,47.803
dominanttree1Quercus:dominanttree2Alnus:dominanttree3Fagus,-0.018,-3.889,3.884,0.506,0.038,0.982,0.02,48.601
dominanttree1Quercus:dominanttree2Alnus:dominanttree3Ilex,0.005,-3.965,3.939,0.501,0.039,1.005,0.019,51.386
dominanttree1Quercus:dominanttree2Alnus:dominanttree3Pinus,0.003,-3.908,3.882,0.501,0.04,1.003,0.02,48.539
dominanttree1Quercus:dominanttree2Alnus:dominanttree3Quercus,-0.016,-3.887,3.893,0.504,0.036,0.985,0.021,49.078
dominanttree1Quercus:dominanttree2Alnus:dominanttree3Rubus,-0.021,-3.896,3.901,0.504,0.044,0.979,0.02,49.453
dominanttree1Quercus:dominanttree2Alnus:dominanttree3Sambucus,-0.008,-3.908,3.865,0.502,0.039,0.992,0.02,47.726
dominanttree1Quercus:dominanttree2Betula,0,-3.862,3.898,0.501,0.043,1,0.021,49.321
dominanttree1Quercus:dominanttree2Betula:dominanttree3Acer,0.003,-3.89,3.822,0.504,0.04,1.003,0.02,45.673
dominanttree1Quercus:dominanttree2Betula:dominanttree3Betula,0.007,-3.807,3.825,0.502,0.045,1.007,0.022,45.81
dominanttree1Quercus:dominanttree2Betula:dominanttree3Eucalyptus,0.018,-3.804,3.821,0.5,0.043,1.018,0.022,45.627
dominanttree1Quercus:dominanttree2Betula:dominanttree3Fagus,0.008,-3.911,3.945,0.5,0.04,1.008,0.02,51.689
dominanttree1Quercus:dominanttree2Betula:dominanttree3Ilex,0.009,-3.956,3.931,0.503,0.039,1.009,0.019,50.961
dominanttree1Quercus:dominanttree2Betula:dominanttree3Pinus,0.007,-3.98,3.895,0.506,0.041,1.007,0.019,49.163
dominanttree1Quercus:dominanttree2Betula:dominanttree3Quercus,0.005,-3.904,3.933,0.502,0.039,1.005,0.02,51.084
dominanttree1Quercus:dominanttree2Betula:dominanttree3Rubus,-0.006,-3.898,3.918,0.501,0.038,0.994,0.02,50.28
dominanttree1Quercus:dominanttree2Betula:dominanttree3Sambucus,-0.009,-3.864,3.835,0.503,0.042,0.991,0.021,46.31
dominanttree1Quercus:dominanttree2Cedrus,0.02,-3.792,3.782,0.506,0.039,1.02,0.023,43.9
dominanttree1Quercus:dominanttree2Cedrus:dominanttree3Acer,0.007,-4.013,3.999,0.502,0.041,1.007,0.018,54.556
dominanttree1Quercus:dominanttree2Cedrus:dominanttree3Betula,-0.02,-4.009,3.999,0.505,0.04,0.98,0.018,54.543
dominanttree1Quercus:dominanttree2Cedrus:dominanttree3Eucalyptus,0.013,-3.85,3.902,0.501,0.042,1.013,0.021,49.503
dominanttree1Quercus:dominanttree2Cedrus:dominanttree3Fagus,-0.002,-3.917,3.986,0.505,0.043,0.998,0.02,53.86
dominanttree1Quercus:dominanttree2Cedrus:dominanttree3Ilex,0.009,-3.944,3.999,0.502,0.038,1.009,0.019,54.541
dominanttree1Quercus:dominanttree2Cedrus:dominanttree3Pinus,0.019,-3.868,3.903,0.502,0.041,1.019,0.021,49.55
dominanttree1Quercus:dominanttree2Cedrus:dominanttree3Quercus,-0.007,-3.866,3.884,0.502,0.042,0.993,0.021,48.613
dominanttree1Quercus:dominanttree2Cedrus:dominanttree3Rubus,-0.018,-3.944,3.964,0.504,0.036,0.982,0.019,52.681
dominanttree1Quercus:dominanttree2Cedrus:dominanttree3Sambucus,0.004,-3.872,3.836,0.501,0.038,1.004,0.021,46.33
dominanttree1Quercus:dominanttree2Crataegus,0.186,-3.108,3.482,0.549,0.049,1.204,0.045,32.534
dominanttree1Quercus:dominanttree2Crataegus:dominanttree3Acer,0.002,-4.007,4.006,0.505,0.041,1.002,0.018,54.937
dominanttree1Quercus:dominanttree2Crataegus:dominanttree3Betula,-0.017,-3.875,3.813,0.504,0.043,0.984,0.021,45.292
dominanttree1Quercus:dominanttree2Crataegus:dominanttree3Eucalyptus,0.003,-3.871,3.868,0.503,0.044,1.003,0.021,47.846
dominanttree1Quercus:dominanttree2Crataegus:dominanttree3Fagus,0.012,-3.945,3.927,0.502,0.038,1.012,0.019,50.729
dominanttree1Quercus:dominanttree2Crataegus:dominanttree3Ilex,-0.011,-3.918,3.886,0.5,0.039,0.989,0.02,48.71
dominanttree1Quercus:dominanttree2Crataegus:dominanttree3Pinus,-0.001,-3.989,4.019,0.503,0.039,0.999,0.019,55.644
dominanttree1Quercus:dominanttree2Crataegus:dominanttree3Quercus,0,-3.946,3.882,0.5,0.035,1,0.019,48.539
dominanttree1Quercus:dominanttree2Crataegus:dominanttree3Rubus,0.015,-3.918,3.949,0.504,0.041,1.016,0.02,51.875
dominanttree1Quercus:dominanttree2Crataegus:dominanttree3Sambucus,0.002,-3.833,3.84,0.501,0.042,1.002,0.022,46.547
dominanttree1Quercus:dominanttree2Fagus,-0.012,-3.914,3.917,0.504,0.037,0.988,0.02,50.229
dominanttree1Quercus:dominanttree2Fagus:dominanttree3Acer,0.021,-3.869,3.908,0.505,0.041,1.021,0.021,49.779
dominanttree1Quercus:dominanttree2Fagus:dominanttree3Betula,-0.006,-3.762,3.788,0.503,0.038,0.994,0.023,44.189
dominanttree1Quercus:dominanttree2Fagus:dominanttree3Eucalyptus,-0.007,-3.874,3.877,0.506,0.043,0.993,0.021,48.265
dominanttree1Quercus:dominanttree2Fagus:dominanttree3Fagus,0.005,-3.952,3.929,0.5,0.04,1.005,0.019,50.876
dominanttree1Quercus:dominanttree2Fagus:dominanttree3Ilex,0.002,-3.91,3.995,0.502,0.037,1.002,0.02,54.341
dominanttree1Quercus:dominanttree2Fagus:dominanttree3Pinus,-0.024,-3.911,3.825,0.504,0.035,0.976,0.02,45.842
dominanttree1Quercus:dominanttree2Fagus:dominanttree3Quercus,-0.02,-3.856,3.851,0.504,0.04,0.98,0.021,47.024
dominanttree1Quercus:dominanttree2Fagus:dominanttree3Rubus,0.004,-3.832,3.915,0.502,0.04,1.004,0.022,50.131
dominanttree1Quercus:dominanttree2Fagus:dominanttree3Sambucus,-0.008,-3.842,3.838,0.501,0.037,0.992,0.021,46.434
dominanttree1Quercus:dominanttree2Fraxinus,0.003,-3.921,3.887,0.502,0.039,1.003,0.02,48.763
dominanttree1Quercus:dominanttree2Fraxinus:dominanttree3Acer,-0.011,-3.921,3.881,0.501,0.038,0.99,0.02,48.475
dominanttree1Quercus:dominanttree2Fraxinus:dominanttree3Betula,-0.004,-3.988,4.012,0.501,0.039,0.996,0.019,55.284
dominanttree1Quercus:dominanttree2Fraxinus:dominanttree3Eucalyptus,0.013,-3.79,3.848,0.501,0.04,1.013,0.023,46.916
dominanttree1Quercus:dominanttree2Fraxinus:dominanttree3Fagus,0.001,-3.866,3.888,0.502,0.038,1.001,0.021,48.827
dominanttree1Quercus:dominanttree2Fraxinus:dominanttree3Ilex,0.004,-3.983,3.939,0.505,0.039,1.004,0.019,51.379
dominanttree1Quercus:dominanttree2Fraxinus:dominanttree3Pinus,-0.014,-3.888,3.796,0.5,0.042,0.986,0.02,44.505
dominanttree1Quercus:dominanttree2Fraxinus:dominanttree3Quercus,-0.007,-3.866,3.929,0.502,0.041,0.993,0.021,50.852
dominanttree1Quercus:dominanttree2Fraxinus:dominanttree3Rubus,-0.007,-3.935,3.908,0.502,0.042,0.993,0.02,49.786
dominanttree1Quercus:dominanttree2Fraxinus:dominanttree3Sambucus,0.004,-3.927,3.942,0.501,0.039,1.004,0.02,51.497
dominanttree1Quercus:dominanttree2Picea,0.004,-3.831,3.849,0.502,0.038,1.004,0.022,46.939
dominanttree1Quercus:dominanttree2Picea:dominanttree3Acer,-0.012,-3.897,3.917,0.502,0.041,0.988,0.02,50.238
dominanttree1Quercus:dominanttree2Picea:dominanttree3Betula,0.007,-3.954,3.963,0.502,0.037,1.007,0.019,52.618
dominanttree1Quercus:dominanttree2Picea:dominanttree3Eucalyptus,0.001,-3.852,3.873,0.502,0.038,1.001,0.021,48.081
dominanttree1Quercus:dominanttree2Picea:dominanttree3Fagus,0.001,-3.902,3.975,0.502,0.041,1.001,0.02,53.272
dominanttree1Quercus:dominanttree2Picea:dominanttree3Ilex,-0.003,-3.946,3.964,0.5,0.039,0.997,0.019,52.67
dominanttree1Quercus:dominanttree2Picea:dominanttree3Pinus,0.011,-3.885,3.876,0.5,0.039,1.011,0.021,48.217
dominanttree1Quercus:dominanttree2Picea:dominanttree3Quercus,-0.001,-3.888,3.895,0.501,0.04,0.999,0.02,49.135
dominanttree1Quercus:dominanttree2Picea:dominanttree3Rubus,0.005,-3.947,4.011,0.503,0.043,1.005,0.019,55.209
dominanttree1Quercus:dominanttree2Picea:dominanttree3Sambucus,0.024,-3.888,3.869,0.505,0.04,1.024,0.02,47.905
dominanttree1Quercus:dominanttree2Pinus,1.08,-2.161,4.33,0.742,0.041,2.944,0.115,75.94
dominanttree1Quercus:dominanttree2Pinus:dominanttree3Acer,-0.011,-3.946,3.949,0.503,0.035,0.989,0.019,51.863
dominanttree1Quercus:dominanttree2Pinus:dominanttree3Betula,-0.007,-3.9,3.901,0.504,0.041,0.993,0.02,49.456
dominanttree1Quercus:dominanttree2Pinus:dominanttree3Eucalyptus,-0.004,-3.873,3.86,0.501,0.039,0.996,0.021,47.447
dominanttree1Quercus:dominanttree2Pinus:dominanttree3Fagus,0.008,-3.875,3.918,0.503,0.037,1.008,0.021,50.314
dominanttree1Quercus:dominanttree2Pinus:dominanttree3Ilex,0.011,-3.928,3.976,0.501,0.043,1.012,0.02,53.308
dominanttree1Quercus:dominanttree2Pinus:dominanttree3Pinus,0.007,-3.879,3.908,0.504,0.042,1.007,0.021,49.805
dominanttree1Quercus:dominanttree2Pinus:dominanttree3Quercus,-0.015,-3.926,3.882,0.505,0.041,0.985,0.02,48.522
dominanttree1Quercus:dominanttree2Pinus:dominanttree3Rubus,-0.001,-4.014,4.023,0.503,0.04,0.999,0.018,55.866
dominanttree1Quercus:dominanttree2Pinus:dominanttree3Sambucus,0.004,-3.92,3.85,0.502,0.041,1.004,0.02,47.016
dominanttree1Quercus:dominanttree2Prunus,0.014,-3.95,3.981,0.503,0.038,1.014,0.019,53.568
dominanttree1Quercus:dominanttree2Prunus:dominanttree3Acer,0.007,-3.919,3.977,0.502,0.038,1.007,0.02,53.344
dominanttree1Quercus:dominanttree2Prunus:dominanttree3Betula,0.01,-3.853,3.913,0.5,0.039,1.01,0.021,50.066
dominanttree1Quercus:dominanttree2Prunus:dominanttree3Eucalyptus,-0.002,-3.969,3.97,0.501,0.037,0.998,0.019,52.983
dominanttree1Quercus:dominanttree2Prunus:dominanttree3Fagus,0.017,-3.885,3.968,0.501,0.043,1.017,0.021,52.857
dominanttree1Quercus:dominanttree2Prunus:dominanttree3Ilex,-0.014,-3.959,3.964,0.5,0.041,0.986,0.019,52.692
dominanttree1Quercus:dominanttree2Prunus:dominanttree3Pinus,-0.013,-3.948,3.906,0.504,0.041,0.987,0.019,49.701
dominanttree1Quercus:dominanttree2Prunus:dominanttree3Quercus,0.003,-3.944,3.918,0.501,0.041,1.003,0.019,50.301
dominanttree1Quercus:dominanttree2Prunus:dominanttree3Rubus,0.004,-3.833,3.876,0.501,0.043,1.004,0.022,48.246
dominanttree1Quercus:dominanttree2Prunus:dominanttree3Sambucus,-0.007,-3.95,3.895,0.502,0.039,0.993,0.019,49.158
dominanttree1Quercus:dominanttree2Quercus,0.477,-3.073,4.088,0.604,0.044,1.611,0.046,59.64
dominanttree1Quercus:dominanttree2Quercus:dominanttree3Acer,-0.003,-3.856,3.899,0.501,0.04,0.997,0.021,49.335
dominanttree1Quercus:dominanttree2Quercus:dominanttree3Betula,0,-4.068,3.981,0.502,0.041,1,0.017,53.576
dominanttree1Quercus:dominanttree2Quercus:dominanttree3Eucalyptus,0.001,-3.901,3.901,0.5,0.043,1.001,0.02,49.475
dominanttree1Quercus:dominanttree2Quercus:dominanttree3Fagus,-0.009,-3.97,3.941,0.504,0.039,0.991,0.019,51.463
dominanttree1Quercus:dominanttree2Quercus:dominanttree3Ilex,0.469,-3.132,4.021,0.599,0.041,1.598,0.044,55.738
dominanttree1Quercus:dominanttree2Quercus:dominanttree3Pinus,0.017,-3.847,3.804,0.504,0.038,1.017,0.021,44.867
dominanttree1Quercus:dominanttree2Quercus:dominanttree3Quercus,0.001,-3.881,3.915,0.501,0.042,1.001,0.021,50.157
dominanttree1Quercus:dominanttree2Quercus:dominanttree3Rubus,0.011,-3.871,3.896,0.506,0.042,1.011,0.021,49.229
dominanttree1Quercus:dominanttree2Quercus:dominanttree3Sambucus,-0.009,-3.944,3.925,0.505,0.04,0.991,0.019,50.654
dominanttree1Quercus:dominanttree3Acer,0.001,-3.894,3.918,0.5,0.044,1.001,0.02,50.308
dominanttree1Quercus:dominanttree3Betula,-0.009,-3.966,3.961,0.501,0.037,0.991,0.019,52.527
dominanttree1Quercus:dominanttree3Eucalyptus,0.015,-3.908,3.971,0.501,0.041,1.015,0.02,53.015
dominanttree1Quercus:dominanttree3Fagus,0.003,-3.911,3.927,0.501,0.039,1.003,0.02,50.755
dominanttree1Quercus:dominanttree3Ilex,0.475,-3.081,3.997,0.605,0.04,1.609,0.046,54.418
dominanttree1Quercus:dominanttree3Pinus,0.019,-4.006,3.982,0.505,0.037,1.019,0.018,53.639
dominanttree1Quercus:dominanttree3Quercus,-0.017,-3.894,3.858,0.506,0.043,0.983,0.02,47.357
dominanttree1Quercus:dominanttree3Rubus,-0.006,-4.019,3.971,0.504,0.04,0.994,0.018,53.039
dominanttree1Quercus:dominanttree3Sambucus,0.011,-3.844,3.864,0.5,0.044,1.011,0.021,47.652
dominanttree1Robinia,-0.17,-3.786,3.414,0.533,0.04,0.844,0.023,30.376
dominanttree1Robinia:dominanttree2Acer,0.011,-3.948,3.954,0.503,0.04,1.011,0.019,52.125
dominanttree1Robinia:dominanttree2Acer:dominanttree3Acer,-0.004,-3.915,3.954,0.501,0.043,0.996,0.02,52.131
dominanttree1Robinia:dominanttree2Acer:dominanttree3Betula,-0.003,-3.866,3.906,0.501,0.038,0.997,0.021,49.715
dominanttree1Robinia:dominanttree2Acer:dominanttree3Eucalyptus,0.008,-4,3.986,0.502,0.039,1.008,0.018,53.823
dominanttree1Robinia:dominanttree2Acer:dominanttree3Fagus,0.035,-3.858,3.977,0.512,0.04,1.035,0.021,53.377
dominanttree1Robinia:dominanttree2Acer:dominanttree3Ilex,-0.016,-3.982,3.887,0.501,0.038,0.984,0.019,48.767
dominanttree1Robinia:dominanttree2Acer:dominanttree3Pinus,0.011,-3.801,3.888,0.5,0.04,1.011,0.022,48.79
dominanttree1Robinia:dominanttree2Acer:dominanttree3Quercus,0.011,-3.843,3.828,0.505,0.039,1.011,0.021,45.979
dominanttree1Robinia:dominanttree2Acer:dominanttree3Rubus,0.022,-3.915,3.887,0.504,0.042,1.023,0.02,48.745
dominanttree1Robinia:dominanttree2Acer:dominanttree3Sambucus,0.001,-3.894,3.875,0.501,0.038,1.001,0.02,48.183
dominanttree1Robinia:dominanttree2Alnus,0.009,-3.958,3.96,0.502,0.041,1.009,0.019,52.46
dominanttree1Robinia:dominanttree2Alnus:dominanttree3Acer,0.009,-3.936,3.973,0.502,0.037,1.009,0.02,53.153
dominanttree1Robinia:dominanttree2Alnus:dominanttree3Betula,-0.004,-3.947,3.944,0.503,0.038,0.996,0.019,51.621
dominanttree1Robinia:dominanttree2Alnus:dominanttree3Eucalyptus,-0.005,-4.003,4.003,0.503,0.04,0.995,0.018,54.739
dominanttree1Robinia:dominanttree2Alnus:dominanttree3Fagus,-0.007,-3.902,3.876,0.5,0.038,0.993,0.02,48.245
dominanttree1Robinia:dominanttree2Alnus:dominanttree3Ilex,-0.015,-3.903,3.86,0.502,0.044,0.985,0.02,47.442
dominanttree1Robinia:dominanttree2Alnus:dominanttree3Pinus,-0.014,-4.025,3.932,0.501,0.041,0.986,0.018,50.993
dominanttree1Robinia:dominanttree2Alnus:dominanttree3Quercus,-0.011,-3.889,3.882,0.501,0.041,0.989,0.02,48.538
